id,curso,desconto
1,5,1610
2,4,1407
3,2,241
4,2,823
5,7,1679
6,1,1210
7,3,1239
8,2,1743
9,10,900
10,9,1988
11,1,1128
12,7,722
13,8,423
14,5,1985
15,1,138
16,2,387
17,6,581
18,8,1054
19,9,559
20,9,1286
21,4,91
22,5,1560
23,4,748
24,1,544
25,7,1119
26,5,925
27,7,1268
28,3,955
29,4,582
30,7,830
31,4,465
32,5,393
33,3,313
34,6,316
35,9,200
36,3,1124
37,4,1682
38,4,1720
39,9,916
40,2,1451
41,5,751
42,7,217
43,5,1639
44,1,1048
45,3,601
46,3,763
47,9,1256
48,5,1390
49,4,1013
50,7,455
51,5,750
52,1,625
53,8,148
54,5,827
55,4,1790
56,1,1379
57,6,1345
58,6,778
59,1,1839
60,1,472
61,6,795
62,6,805
63,10,129
64,1,1477
65,9,411
66,3,1797
67,4,1733
68,8,1129
69,10,1401
70,7,933
71,6,1188
72,1,1887
73,4,1262
74,4,1392
75,6,582
76,3,1853
77,4,453
78,9,328
79,9,440
80,10,275
81,9,1118
82,9,809
83,2,92
84,8,1275
85,2,994
86,6,808
87,7,1418
88,1,765
89,10,360
90,10,882
91,3,55
92,7,1231
93,9,64
94,8,1481
95,5,484
96,2,1431
97,5,722
98,8,1315
99,1,1833
100,3,1517
101,2,249
102,7,1099
103,4,1149
104,5,381
105,8,1117
106,8,1605
107,3,1054
108,7,1026
109,8,1140
110,2,1013
111,8,1009
112,8,1648
113,10,1288
114,7,1393
115,8,1294
116,5,836
117,5,1395
118,10,707
119,5,231
120,8,1727
121,8,536
122,7,902
123,8,236
124,5,299
125,4,798
126,9,162
127,1,1165
128,10,1898
129,3,645
130,8,1811
131,8,1027
132,6,1377
133,6,532
134,1,1240
135,6,826
136,3,260
137,10,1423
138,10,1766
139,1,934
140,9,438
141,1,517
142,6,1350
143,2,1006
144,8,1260
145,1,1953
146,3,17
147,7,1338
148,4,774
149,6,1136
150,8,1890
151,9,833
152,6,1068
153,7,1853
154,3,16
155,2,1400
156,6,70
157,3,1233
158,3,1000
159,6,433
160,2,396
161,9,1856
162,8,1949
163,5,316
164,5,745
165,9,947
166,1,1239
167,9,454
168,4,685
169,4,512
170,3,1830
171,1,774
172,2,1142
173,1,340
174,3,230
175,3,947
176,1,1872
177,7,465
178,4,971
179,8,1725
180,2,1137
181,4,799
182,9,548
183,8,968
184,7,716
185,6,1692
186,4,51
187,3,1443
188,8,1837
189,5,911
190,9,1390
191,3,1416
192,10,1484
193,9,1794
194,8,485
195,6,1365
196,4,530
197,3,261
198,2,1551
199,3,1579
200,6,1913
201,10,1986
202,5,535
203,4,868
204,2,1010
205,3,318
206,6,1373
207,2,651
208,4,1855
209,4,1008
210,8,1349
211,8,367
212,10,1093
213,9,1216
214,2,1672
215,4,121
216,6,1725
217,4,1515
218,10,655
219,8,1460
220,7,1424
221,7,528
222,2,153
223,3,1612
224,1,1633
225,5,285
226,7,1822
227,1,1453
228,4,1416
229,3,1330
230,5,1209
231,8,385
232,10,29
233,4,113
234,1,1676
235,5,874
236,10,235
237,3,1806
238,10,1559
239,6,902
240,1,1149
241,9,605
242,8,1681
243,2,1889
244,2,1561
245,7,811
246,3,217
247,5,718
248,5,1113
249,10,688
250,6,435
251,10,1542
252,7,607
253,4,1130
254,5,89
255,6,907
256,6,25
257,9,1362
258,5,1218
259,10,1650
260,1,1332
261,5,1786
262,9,1361
263,4,1273
264,10,1366
265,2,798
266,4,881
267,3,1724
268,9,976
269,1,1163
270,6,257
271,6,500
272,10,1743
273,6,168
274,3,491
275,5,1463
276,6,779
277,2,19
278,9,689
279,2,1409
280,1,1973
281,2,266
282,5,667
283,3,391
284,7,1040
285,6,945
286,8,662
287,2,833
288,4,1460
289,8,1820
290,6,1984
291,9,875
292,2,497
293,6,255
294,2,871
295,9,1710
296,2,525
297,1,1075
298,7,748
299,9,1788
300,7,182
301,3,1655
302,10,926
303,5,1934
304,3,1097
305,10,92
306,5,1232
307,1,574
308,1,396
309,2,764
310,3,1219
311,4,336
312,8,1297
313,5,644
314,4,1458
315,3,1930
316,5,1245
317,5,1408
318,8,1779
319,8,1783
320,6,252
321,5,736
322,10,624
323,4,600
324,7,1614
325,8,638
326,5,896
327,7,1368
328,6,1564
329,1,221
330,4,777
331,4,1071
332,5,1772
333,6,603
334,10,487
335,8,1720
336,6,1623
337,9,912
338,5,712
339,4,1934
340,1,1488
341,5,416
342,5,1623
343,5,836
344,7,1469
345,4,658
346,4,291
347,3,1718
348,3,912
349,9,830
350,5,1480
351,5,810
352,10,1765
353,7,309
354,6,1502
355,10,1992
356,6,1196
357,3,1417
358,8,1895
359,1,1154
360,8,1605
361,7,1632
362,6,230
363,3,1879
364,1,422
365,8,446
366,2,1062
